"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CrisOliveraCM: Martes 29/5 Entrevista con los grupos ganadores de #HackathonPosadas en @Republica99 @FelipeSMBarros @CMArzamendiA https…",FALSE,0,NA,2017-05-31 11:47:46,FALSE,NA,"869883094651817984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cyriri",11,TRUE,FALSE,NA,NA
"2","Ayer en @Republica99 presentando nuestros proyectos de #HackathonPosadas https://t.co/sEgkhp7YNV",FALSE,0,NA,2017-05-31 11:14:03,FALSE,NA,"869874609717473280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","raulneis",0,FALSE,FALSE,NA,NA
"3","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 11:12:01,FALSE,NA,"869874098566029313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Walter210692",17,TRUE,FALSE,NA,NA
"4","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 11:11:48,FALSE,NA,"869874043478044672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicogodoy1205",17,TRUE,FALSE,NA,NA
"5","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 11:11:39,FALSE,NA,"869874005397958656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cynmarquez12",17,TRUE,FALSE,NA,NA
"6","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 11:11:32,FALSE,NA,"869873977396793344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luciano3219",17,TRUE,FALSE,NA,NA
"7","RT @CrisOliveraCM: Martes 29/5 Entrevista con los grupos ganadores de #HackathonPosadas en @Republica99 @FelipeSMBarros @CMArzamendiA https…",FALSE,0,NA,2017-05-31 10:38:01,FALSE,NA,"869865541736988672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FelipeSMBarros",11,TRUE,FALSE,NA,NA
"8","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 10:08:13,FALSE,NA,"869858044062126080",NA,"<a href=""http://freecodecamp.com"" rel=""nofollow"">newappcodeMar24</a>","_100DaysOfCode",17,TRUE,FALSE,NA,NA
"9","RT @CrisOliveraCM: Martes 29/5 Entrevista con los grupos ganadores de #HackathonPosadas en @Republica99 @FelipeSMBarros @CMArzamendiA https…",FALSE,0,NA,2017-05-31 10:07:04,FALSE,NA,"869857753577254912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juaname07763234",11,TRUE,FALSE,NA,NA
"10","RT @FelipeSMBarros: #HackathonPosadas #GeoPosadas #100DaysOfCode days 27-30 48 of development #geomarketing app #rstats #html #css awesome…",FALSE,0,NA,2017-05-31 10:07:02,FALSE,NA,"869857744060338176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juaname07763234",17,TRUE,FALSE,NA,NA
