"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @soymotta: Los equipos no paran de desarrollar soluciones para la Ciudad en la #hackathonposadas .
¡Aplausos al esfuerzo y la dedicación…",FALSE,0,NA,2017-05-28 23:58:07,FALSE,NA,"868979729394786304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",5,TRUE,FALSE,NA,NA
"2","RT @CMArzamendiA: #hackathonposadas : Los jueces evalúan los proyectos innovadores para la ciudad de Posadas @losadajoaquin @pepivillalba h…",FALSE,0,NA,2017-05-28 23:56:38,FALSE,NA,"868979358026932224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",8,TRUE,FALSE,NA,NA
"3","RT @CMArzamendiA: #Hackathonposadas los equipos presentan sus proyectos de innovación ciudadana! @losadajoaquin @pepivillalba https://t.co/…",FALSE,0,NA,2017-05-28 23:56:35,FALSE,NA,"868979343665623040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",7,TRUE,FALSE,NA,NA
"4","RT @CMArzamendiA: #HackathonPosadas #HOY 14 proyectos concursan por el primer premio de innovación ciudadana en UCaMi @losadajoaquin @pepiv…",FALSE,0,NA,2017-05-28 23:56:32,FALSE,NA,"868979332995317763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",6,TRUE,FALSE,NA,NA
"5","RT @CMArzamendiA: #hackathonposadas #hoy yoga. https://t.co/97zf6b0prR",FALSE,0,NA,2017-05-28 23:56:16,FALSE,NA,"868979264506540033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",6,TRUE,FALSE,NA,NA
"6","RT @CMArzamendiA: #Hackathonposadas los equipos presentan sus proyectos de innovación ciudadana! @losadajoaquin @pepivillalba https://t.co/…",FALSE,0,NA,2017-05-28 23:38:41,FALSE,NA,"868974841428422656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","britezdaniel",7,TRUE,FALSE,NA,NA
"7","RT @CMArzamendiA: #Hackathonposadas los equipos presentan sus proyectos de innovación ciudadana! @losadajoaquin @pepivillalba https://t.co/…",FALSE,0,NA,2017-05-28 23:34:10,FALSE,NA,"868973706227458048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losadajoaquin",7,TRUE,FALSE,NA,NA
"8","RT @muniposadas: #Ahora Evaluación de proyectos de innovación ciudadana en el cierre del #HackathonPosadas https://t.co/VzBNQ9nL9j",FALSE,0,NA,2017-05-28 23:33:26,FALSE,NA,"868973518054199296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losadajoaquin",4,TRUE,FALSE,NA,NA
"9","Felicitaciones @FelipeSMBarros @santiagosemhan @raulneis, excelentes proyectos, muy merecido estar entre los premiados del #HackathonPosadas",FALSE,1,NA,2017-05-28 22:54:29,FALSE,NA,"868963718721351680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kickebarrios",2,FALSE,FALSE,NA,NA
"10","RT @posadastech: Último proyecto - Misiones #HackathonPosadas https://t.co/JDyTm3WsoW",FALSE,0,NA,2017-05-28 22:41:36,FALSE,NA,"868960476948025345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gustavo_quintan",1,TRUE,FALSE,NA,NA
